date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:07:28	149/149	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Dec%202024%2022:07:28%20GMT	http://blooketbot.glitch.me/robots.txt		(from )
17:07:29	9333/9333	---M--	200	added ('OK')	text/html	etag:W/%222475-1938381dfb8%22	http://blooketbot.glitch.me/	C:/Users/cji12/Downloads/blooketbot/blooketbot.glitch.me/index.html	(from )
17:07:39	2836/2836	---M--	200	added ('OK')	image/png	etag:%22a82e3ecce24b097145be79cec6fc4858%22	https://cdn.glitch.global/50648a61-8fe9-4ce0-a01c-baff9438bbf2/bblogo.png	C:/Users/cji12/Downloads/blooketbot/cdn.glitch.global/50648a61-8fe9-4ce0-a01c-baff9438bbf2/bblogo.png	(from http://blooketbot.glitch.me/)
17:07:52	25424/25424	---M-Z	200	added ('OK')	image/png	etag:%226d1701adf0d8492837e583d7c03dd6e8%22	https://ac.blooket.com/dashboard/65a43218fd1cabe52bdf1cda34613e9e.png	C:/Users/cji12/Downloads/blooketbot/ac.blooket.com/dashboard/65a43218fd1cabe52bdf1cda34613e9e.png	(from http://blooketbot.glitch.me/)
17:07:52	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Wed,%2011%20Dec%202024%2022:07:52%20GMT	https://discord.gg/blooket	C:/Users/cji12/Downloads/blooketbot/discord.gg/blooket.4.delayed	(from http://blooketbot.glitch.me/)
17:07:54	26020/26020	---M--	200	added ('OK')	text/javascript	date:Fri,%2024%20May%202019%2010:31:08%20GMT	https://zalgo.org/lunicode.js	C:/Users/cji12/Downloads/blooketbot/zalgo.org/lunicode.js	(from http://blooketbot.glitch.me/)
17:07:54	35134/35134	---M--	200	added ('OK')	application/javascript	etag:W/%22893e-193b38e9818%22	http://blooketbot.glitch.me/script.js	C:/Users/cji12/Downloads/blooketbot/blooketbot.glitch.me/script.js	(from http://blooketbot.glitch.me/)
17:07:54	51/51	---MCZ	200	added ('OK')	text/plain	date:Wed,%2011%20Dec%202024%2022:07:54%20GMT	https://fonts.googleapis.com/robots.txt		(from http://blooketbot.glitch.me/)
17:07:54	1141/1141	---MC-	200	added ('OK')	text/css	date:Wed,%2011%20Dec%202024%2022:07:39%20GMT	https://fonts.googleapis.com/css?family=Nunito:400,700|Titan+One|Creepster|Satisfy|Eczar:700	C:/Users/cji12/Downloads/blooketbot/fonts.googleapis.com/css.060ec.delayed	(from http://blooketbot.glitch.me/)
17:08:14	7100/7100	---M--	522	error ('Unknown%20error')	text/html	date:Wed,%2011%20Dec%202024%2022:08:14%20GMT	https://bb.doyle31.com/robots.txt		(from http://blooketbot.glitch.me/)
17:08:23	7100/7100	---M--	522	error ('Unknown%20error')	text/html	date:Wed,%2011%20Dec%202024%2022:08:23%20GMT	https://bb.doyle31.com/	C:/Users/cji12/Downloads/blooketbot/bb.doyle31.com/index.html	(from http://blooketbot.glitch.me/)
17:08:23	349/349	---M-Z	200	added ('OK')	text/plain	date:Wed,%2022%20May%202024%2022:38:00%20GMT	https://www.youtube.com/robots.txt		(from http://blooketbot.glitch.me/)
17:08:23	178598/178598	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Wed,%2011%20Dec%202024%2022:07:52%20GMT	https://www.youtube.com/@crypto.7562	C:/Users/cji12/Downloads/blooketbot/www.youtube.com/@crypto.3.delayed	(from http://blooketbot.glitch.me/)
17:08:24	23/23	---M--	200	added ('OK')	text/plain	date:Wed,%2011%20Dec%202024%2022:08:23%20GMT	https://discord.gg/robots.txt		(from http://blooketbot.glitch.me/)
17:08:27	276/276	---MCZ	200	added ('OK')	text/plain	date:Wed,%2011%20Dec%202024%2022:08:26%20GMT	https://discord.com/robots.txt		(from https://discord.gg/blooket)
17:08:27	2883/2883	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Wed,%2011%20Dec%202024%2019:08:24%20GMT	https://discord.com/invite/blooket	C:/Users/cji12/Downloads/blooketbot/discord.com/invite/blooket.7.delayed	(from https://discord.gg/blooket)
